# The following is the parsable format, which can be fed to other
# programs. Each different item in every column has an unique ID
# starting usually from zero.
# CPU,Node,Socket,Core
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,0,7
8,0,0,8
9,0,0,9
10,0,0,10
11,0,0,11
12,0,0,12
13,0,0,13
14,0,0,14
15,0,0,15
16,0,0,16
17,0,0,17
18,1,1,0
19,1,1,1
20,1,1,2
21,1,1,3
22,1,1,4
23,1,1,5
24,1,1,6
25,1,1,7
26,1,1,8
27,1,1,9
28,1,1,10
29,1,1,11
30,1,1,12
31,1,1,13
32,1,1,14
33,1,1,15
34,1,1,16
35,1,1,17
