tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_summary
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,10360896,10418732,98.285,32768000000,2236175586,4694191107,214173016,1554458,197976722,2242636,2173242418,4689432405,194148912,5971128154,1088488222,2169743210,4689952236,1552940835,242675402,2172866700,4690831185,207805966,34922955,288528667,255802500,15067275,2173039947,4690387101,2162487409,274799522,326557233,374438384,531928350,4688863481,2205394705,4692481788,2205607258,1281497533,1554458,214173016,2242636,197976722,2236175586,4694191107,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,9865527,9878062,103.664,32768000000,2184740781,4692357764,213500818,1606311,197927092,1871154,2180447439,4691224622,194807086,5982828614,1090404808,2196025152,4692965863,1554329285,242593977,2173237015,4691093254,207631087,34977058,290836450,257791070,16829724,2181124971,4691808630,2181736841,276486659,327836855,373895058,532132694,4692325145,2208520670,4694091953,2208713425,1283712533,1606311,213500818,1871154,197927092,2184740781,4692357764,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,9803839,9830043,104.170,32768000000,2171688197,4689965450,212824931,1561711,197885397,1635881,2188718573,4693072589,196949691,6025745895,1097041972,2191693666,4692891918,1554199160,242588431,2170209974,4689806210,207833760,35046473,284896008,252556867,14157287,2169736787,4691015951,2179073423,276845125,329091470,373165388,530700212,4690546130,2187609983,4692325908,2187816866,1271270191,1561711,212824931,1635881,197885397,2171688197,4689965450,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,9107419,9132939,112.122,32768000000,2009099443,4874088020,165773417,674069,197121305,1786951,2052753401,4874632536,131576100,6421144009,1273616264,2003367910,4873123052,739216760,240283690,2038264751,4874344946,221382099,19320087,287891409,235458096,16197976,2016877276,4874335731,2020958176,202100349,579707387,228793403,410700086,4875110485,2006025144,4872092178,2006200511,1165994750,674069,165773417,1786951,197121305,2009099443,4874088020,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,8985079,9016797,113.566,32768000000,1987183071,4812869858,157628369,3033891,196831192,1842499,2014943913,4820815756,120959915,6103316850,1240160845,1991506339,4817746763,726296127,239629107,1997708910,4818168830,222966687,18261266,286310489,233812937,15242156,2013144816,4819619744,2039732453,212903302,592172469,232857523,375770981,4822850945,2004995693,4818689853,2005156071,1165324991,3033891,157628369,1842499,196831192,1987183071,4812869858,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,8837832,8847399,115.740,32768000000,1932889728,4464201573,111117577,70421,197152184,1613191,1949534010,4462973250,120511057,5134393494,1012584041,1968607514,4465578589,779965065,202560161,1935241690,4463336655,185317407,17584345,285725771,230553055,16706758,1974162266,4465234925,1978749620,192971152,712202687,151301191,361826271,4466556827,1975900607,4466262750,1976083776,1148341616,70421,111117577,1613191,197152184,1932889728,4464201573,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,9014044,9057116,113.060,32768000000,1973204044,4752423372,150775641,3069077,197487252,1788578,1987402080,4753494922,127633199,6451917726,1259693125,1966577582,4751572061,503349215,197219174,1980008768,4752928638,187483192,9582725,234663031,149128449,11045727,1952010443,4752549513,1973988164,239378275,611098392,179031652,373053585,4752528862,1962845845,4753580087,1963065319,1140714716,3069077,150775641,1788578,197487252,1973204044,4752423372,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,8723738,8742557,117.128,32768000000,1913844848,4319326248,101995215,74009,197287912,1791777,1959242997,4322409554,184776326,6126789997,1029156351,1936033676,4321049330,577436952,201824229,1938426456,4321027657,191115186,9868489,266722977,165541274,14419533,1945089719,4322236724,1940546056,214913875,757379082,143862486,278226767,4322609873,1948848272,4322828934,1949098518,1132629750,74009,101995215,1791777,197287912,1913844848,4319326248,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,8512308,8516156,120.242,32768000000,1871246692,4070310463,76524766,69120,196923338,1343018,1909617355,4077857185,182250242,5550950210,910834667,1898010360,4075096661,579876011,221580206,1936870074,4077371548,212481671,10521129,260855300,159822060,12275908,1915743781,4076585645,1930542756,219875470,810283985,99478482,277042160,4079926218,1938861261,4080702165,1939074003,1126640433,69120,76524766,1343018,196923338,1871246692,4070310463,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,8237236,8246298,124.177,32768000000,1817141929,4695753264,143969372,3071241,199516523,1842397,1852000931,4697898570,9363363,2948060347,1176476111,1855048026,4698049495,553041065,96930718,1852233986,4698162996,88085207,7002781,187505145,109537281,13585608,1844494690,4697443166,1851157395,172189109,617929113,166104030,377583977,4695446467,1813110139,4696776624,1813333267,1053661116,3071241,143969372,1842397,199516523,1817141929,4695753264,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
