tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,9847145,9867320,103.777,32768000000,2170041573,4691666514,213210430,1559161,197908791,1562468,2182557286,4690993307,195766930,6002103422,1091871615,2176094931,4691603584,1553389480,242802774,2160911762,4689887076,208033207,35095203,292591024,258516639,17194348,2189926113,4692406217,2178107171,277445464,330728885,373901685,530402000,4691955670,2176097534,4691230392,2176331650,1264686133,1559161,213210430,1562468,197908791,2170041573,4691666514,2177518338,304133,1849370112,18532,4693476186,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,9834938,9843442,104.029,32768000000,2180681092,4692012100,213287198,1525894,197972552,1737729,2187800759,4694291448,197138809,6028218438,1095126147,2186471850,4694015467,1554074875,242939728,2195957808,4694480268,207503393,35032256,290437706,257471494,15646040,2177749334,4692449799,2178592387,275847658,326806503,373807137,532242414,4693272701,2181955993,4694104938,2182179419,1268219416,1525894,213287198,1737729,197972552,2180681092,4692012100,2175186996,315243,1849325541,18112,4693285575,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,9843304,9853076,103.927,32768000000,2175384406,4691968990,213330874,1474817,197861264,1692623,2200103568,4696068756,199094364,6075891799,1104673201,2216322133,4698480198,1555793960,242839093,2189258548,4695025885,208053044,34994394,296673781,262651736,19110390,2190629532,4695602571,2190431645,279764052,332961464,374340869,529638788,4692731650,2174543114,4693353378,2174735232,1263748775,1474817,213330874,1692623,197861264,2175384406,4691968990,2177742314,278164,1848726502,18392,4691121969,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,8928215,8931667,114.648,32768000000,1974656468,4868967237,164184308,675542,196954355,1448908,2015716754,4877015799,117302771,6035722879,1231586067,2008767353,4874727167,739488060,240786277,2001738627,4874505318,222553679,18544862,285699349,231832349,15036663,2017012965,4875416101,2023421806,201267114,580457665,229171427,411411072,4878285542,2053191630,4883417743,2053417264,1193329991,675542,164184308,1448908,196954355,1974656468,4868967237,2012448951,303019,1053327998,17908,4875700401,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,9164063,9179600,111.552,32768000000,2030168478,4821683737,160117106,3011057,197086828,1741734,2011716392,4819677485,121351192,6105349923,1239546430,2027407111,4822441711,727162219,240148730,2018982955,4821755521,221172994,18915239,295657572,241254994,18988643,2032212295,4823263142,2031895703,211679468,591185326,233006642,375868287,4825029961,2031857896,4824287691,2032079529,1180754483,3011057,160117106,1741734,197086828,2030168478,4821683737,2019641572,311331,1040463592,18739,4824346729,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,9001435,9054760,113.090,32768000000,1953559202,4465258236,111338343,76860,197193798,1779098,1967578598,4467590840,125696175,5245841244,1023168430,1954943686,4466859485,780480302,202010125,1959886409,4464480785,183394883,18261706,274551299,220769436,13354233,1965237961,4467534222,1972362905,194702708,713982854,152092019,361052522,4467519939,1975678463,4470071142,1975845986,1148014983,76860,111338343,1779098,197193798,1953559202,4465258236,1970948454,292250,1028301500,17874,4465700210,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,8860058,8874400,115.388,32768000000,1943755846,4749347270,149704622,3078635,197121712,1582957,1974172762,4754063538,124981493,6354027456,1242885644,1951475666,4750330921,503721029,195322677,1955369858,4752313426,187643869,9552799,246138845,152259356,11459125,1969079075,4753547271,1963755221,237107470,610606109,178912029,374256190,4754038294,1967829967,4752459563,1968015528,1143390333,3078635,149704622,1582957,197121712,1943755846,4749347270,1968188285,362918,824274226,16975,4754379800,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,8777072,8784484,116.569,32768000000,1924141354,4321432673,102503998,79906,197401698,1702683,1940720449,4324339382,177956555,5957731702,1005294477,1911724462,4320605080,578487329,200206241,1948050577,4323255731,194483422,9974344,252110895,155419736,10672273,1930502553,4321928149,1955749156,217684277,756768605,144228595,277515465,4324515005,1951542953,4324054550,1951761231,1134057925,79906,102503998,1702683,197401698,1924141354,4321432673,1962623470,308984,826715697,18212,4327071423,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,8614001,8621771,118.769,32768000000,1912375527,4075764955,77997358,77528,197340999,1602538,1929929401,4081815307,189526482,5691208247,927793975,1926306022,4078536897,579287837,223058805,1932047865,4081049397,212734246,10404390,268777159,164779246,14077905,1929898753,4080390235,1927570901,220370792,810607457,99933588,276827815,4080134399,1933707908,4082194446,1933943366,1123703925,77528,77997358,1602538,197340999,1912375527,4075764955,1932114780,288291,812544014,17956,4082326929,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,8228644,8238073,124.301,32768000000,1791669445,4696315830,143957038,3079080,199322381,1736788,1877593949,4704523182,9875190,2993304883,1189266986,1817908230,4697179480,552562270,96373108,1839854318,4699660953,89048328,6967523,194363500,113966503,16218881,1860871202,4702923938,1843075610,170745311,617623307,166160885,378070991,4699098245,1849080818,4701585387,1849277337,1074360625,3079080,143957038,1736788,199322381,1791669445,4696315830,1858899545,326939,807260146,17900,4701540421,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
011-lib0-t4-k256-r4c2-u2-b-,ok,ok,0,4,256,4,2,2,-,7794299,7804159,131.212,32768000000,1740183228,4263313325,95580860,82779,198816884,1732243,1807138662,4265509196,12103098,2265681719,802090226,1763710785,4264014990,688859157,71227735,1795547794,4265030762,64367363,7559425,183817394,106382080,12232570,1785204705,4266010795,1827449826,141784337,753605041,146433926,275913312,4269707822,1839009631,4267092553,1839213603,1068516566,82779,95580860,1732243,198816884,1740183228,4263313325,1761875091,303396,805572244,17190,4263886271,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
012-lib0-t4-k256-r4c2-u4-b-,ok,ok,0,4,256,4,2,4,-,8082664,8098461,126.444,32768000000,1802161050,4037983224,71230551,74176,198848153,1740151,1795754476,4042895139,27002751,3204962310,850518887,1815744045,4042126117,601946744,186114268,1791957911,4043818532,174801883,11505970,214900892,165408565,19204733,1817135522,4041714961,1785306327,132838763,847203207,98746393,275005407,4041492215,1783913438,4040637916,1784111195,1036928033,74176,71230551,1740151,198848153,1802161050,4037983224,1803498110,312880,798170585,18193,4040806922,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
013-lib0-t4-k512-r1c1-u1-b-,ok,ok,0,4,512,1,1,1,-,9863807,9884255,103.599,32768000000,2181876720,4198377079,168402901,75065,198349281,1712358,2178251029,4199332986,296915621,7914749170,1253719352,2188610601,4202771549,1351284652,305856315,2179758575,4199549373,239527562,64732749,365154697,344913464,17046674,2183403840,4199647526,2188304348,316404416,374484279,352643986,492157487,4201715569,2176410423,4198781240,2176574730,1265226208,75065,168402901,1712358,198349281,2181876720,4198377079,2178087432,275834,1710868833,18219,4200426825,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
014-lib0-t4-k512-r1c1-u2-b-,ok,ok,0,4,512,1,1,2,-,9854558,9859891,103.855,32768000000,2184450592,4196022301,167777122,76496,198509111,1795374,2193253117,4204410843,298387826,7936220934,1254371996,2167433226,4196336853,1350547415,304508487,2190757179,4201784689,239947838,64927528,359722326,339473782,14812131,2171202759,4198364766,2193211329,317211916,374533201,352346022,492121296,4202507496,2184442322,4200373920,2184667777,1269493191,76496,167777122,1795374,198509111,2184450592,4196022301,2180335293,291102,1710825468,17836,4200325078,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
