tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cpu_core_l1d_pend_miss_fb_full_,perf_buffers_pending_cpu_core_l1d_pend_miss_pending_,perf_buffers_pending_cpu_core_l1d_pend_miss_pending_cycles_,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_cache_l1_cpu_core_mem_load_retired_l1_hit_,perf_cache_l1_cpu_core_mem_load_retired_l1_miss_,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l2_cpu_core_mem_load_retired_l2_hit_,perf_cache_l2_cpu_core_mem_load_retired_l2_miss_,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l3_dram_cpu_core_mem_load_l3_miss_retired_local_dram_,perf_cache_l3_dram_cpu_core_mem_load_retired_l3_hit_,perf_cache_l3_dram_cpu_core_mem_load_retired_l3_miss_,perf_cache_l3_dram_cycles,perf_cache_l3_dram_instructions,perf_cache_stalls_cpu_core_cycle_activity_stalls_l1d_miss_,perf_cache_stalls_cpu_core_cycle_activity_stalls_l2_miss_,perf_cache_stalls_cpu_core_cycle_activity_stalls_l3_miss_,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cpu_core_exe_activity_1_ports_util_,perf_execution_ports_cpu_core_exe_activity_2_ports_util_,perf_execution_ports_cpu_core_exe_activity_3_ports_util_,perf_execution_ports_cpu_core_exe_activity_4_ports_util_,perf_execution_ports_cycles,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_summary
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,112774290,119505471,8.569,32768000000,10225975664,18239741544,479245779,2913668,110870108,11873129,15665510,636005894,341895245,10068926720,18234269166,3274277616,41281937,10101358274,18236462222,33953569,3010652,10115286529,18236425107,212553,2624110,212553,10081679169,18234471887,124740520,67880177,22167098,10086122056,18239562220,3042649989,3407657414,1608045051,429029549,10076884458,18231178457,10071264248,18236375901,10070129840,5929938637,2913668,479245779,11873129,110870108,10225975664,18239741544,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,105371879,109502043,9.351,32768000000,10068912284,18232560210,477706195,2900973,104938822,6995703,14495204,624173067,336824856,10058133484,18232903748,3289381865,34913951,10089041086,18234494279,34475394,3021496,10063145062,18232355969,191729,2664185,191729,10090538841,18234285916,122248022,68847082,23173391,10069175735,18236350857,3044128926,3410709998,1607970351,428389995,10068354709,18234487193,10055572984,18232226991,10054363019,5868706184,2900973,477706195,6995703,104938822,10068912284,18232560210,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,103480977,107802194,9.499,32768000000,10089964325,18237790150,479179919,3050110,104943601,7217006,15048686,566553673,313767791,10720864803,18221538441,3287513932,35279421,10071045133,18231545743,31416213,3012406,10087360413,18233029212,218854,2629767,218854,10097758046,18234497326,134741324,75155768,25890869,10085709101,18233221103,3043022828,3408266878,1607429748,428922310,10100623480,18229816460,10082947923,18233818025,10081602446,5695746679,3050110,479179919,7217006,104943601,10089964325,18237790150,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,101268422,101607185,10.078,32768000000,9944699342,17388045486,448373500,4272645,106693831,6761675,8747155,609610642,499501961,9952164478,17384524605,1725360238,61718770,9945877885,17383547280,63692421,1243442,9951424643,17388574790,103500,1033306,103500,9935791523,17385419828,136357632,43642203,17714325,9973637944,17387857720,3367455341,3371996829,1308284563,313399106,9968237696,17389830941,9955696027,17388618132,9954474925,5774315807,4272645,448373500,6761675,106693831,9944699342,17388045486,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,110457447,110940116,9.230,32768000000,9885095960,16850264095,257213810,1371605,105121257,6467815,7842433,379441088,293630898,9885064963,16849976730,1753281224,35017964,9924249304,16847316159,33826748,1501081,9917888967,16850810012,112513,1265880,112513,9897316380,16849740589,93477493,42404432,16560283,9904221870,16851948883,3356226322,3390071879,1332479046,274521544,9909604617,16846122565,9885758328,16848337065,9884616277,5806711401,1371605,257213810,6467815,105121257,9885095960,16850264095,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,101718227,107942972,9.486,32768000000,9983515380,16557556577,158756573,874740,108727874,6664633,14833982,410991254,289245707,9847570369,16559488566,1751817498,36675247,9828675278,16560209192,32462091,1678901,9820801015,16560679204,160196,1392791,160196,9824392321,16562248974,100393903,49488339,20111337,9857429248,16563974504,3285944660,3454861272,1421817360,244494327,9821329534,16560515457,9839777205,16558516777,9838355480,5540016012,874740,158756573,6664633,108727874,9983515380,16557556577,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,102611243,104506489,9.798,32768000000,10066083724,16977335635,246837770,879824,106996955,7044982,9036697,534553006,459580730,10071452840,16977499474,4227282256,59182323,10052900797,16979310973,58835797,1113407,10044281375,16979031444,106405,940166,106405,10086204689,16979057496,88309521,34722033,14869004,10050042416,16977666894,2820333956,3372802798,1834850830,607532257,10039262763,16978877249,10033924825,16977861315,10032686228,5811944856,879824,246837770,7044982,106996955,10066083724,16977335635,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,111504309,112014414,9.142,32768000000,9985257248,16427155008,151539002,1032747,108173445,6954240,8026320,388651101,315867883,9983053369,16423456388,3946468883,42299530,9990759142,16426424675,40858470,1143428,10004986044,16430496836,101693,945521,101693,9982514544,16426970815,83397719,40732060,18607773,9997790973,16423975747,2852117036,3382189929,1824048766,584013499,9992169040,16422764339,10002257536,16424808168,10000890441,5632892334,1032747,151539002,6954240,108173445,9985257248,16427155008,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,103019995,106952610,9.574,32768000000,10070876584,17194145293,295662191,914409,105980741,8266997,10776879,564226618,481297670,10093332247,17193570173,4214730242,68242277,10053934920,17193500624,66582831,1072395,10472534501,17189238236,73567,906717,73567,10048108775,17189741048,98902986,38603844,17406087,10050382351,17189791211,2784714771,3341688871,1864137656,645741808,10049117349,17191251594,10078379736,17190977523,10076897537,5635960447,914409,295662191,8266997,105980741,10070876584,17194145293,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,101419068,102538221,9.987,32768000000,9918842517,16391470170,240798907,945789,107241538,7207619,9538061,631484372,557546197,9946548455,16392312427,1297663107,75408576,9908778335,16393441220,73015187,1010343,9919552921,16392706418,83058,853958,83058,9933735660,16391600970,117960636,43244589,18212269,9915622966,16393028051,3443422068,3491930634,1311976754,188812615,9938466199,16396287769,9906672615,16391191780,9905630449,5886016700,945789,240798907,7207619,107241538,9918842517,16391470170,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,ok
