tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cpu_core_l1d_pend_miss_fb_full_,perf_buffers_pending_cpu_core_l1d_pend_miss_pending_,perf_buffers_pending_cpu_core_l1d_pend_miss_pending_cycles_,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_cache_l1_cpu_core_mem_load_retired_l1_hit_,perf_cache_l1_cpu_core_mem_load_retired_l1_miss_,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l2_cpu_core_mem_load_retired_l2_hit_,perf_cache_l2_cpu_core_mem_load_retired_l2_miss_,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l3_dram_cpu_core_mem_load_l3_miss_retired_local_dram_,perf_cache_l3_dram_cpu_core_mem_load_retired_l3_hit_,perf_cache_l3_dram_cpu_core_mem_load_retired_l3_miss_,perf_cache_l3_dram_cycles,perf_cache_l3_dram_instructions,perf_cache_stalls_cpu_core_cycle_activity_stalls_l1d_miss_,perf_cache_stalls_cpu_core_cycle_activity_stalls_l2_miss_,perf_cache_stalls_cpu_core_cycle_activity_stalls_l3_miss_,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cpu_core_exe_activity_1_ports_util_,perf_execution_ports_cpu_core_exe_activity_2_ports_util_,perf_execution_ports_cpu_core_exe_activity_3_ports_util_,perf_execution_ports_cpu_core_exe_activity_4_ports_util_,perf_execution_ports_cycles,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cpu_atom_dTLB_load_misses_,perf_tlb_cpu_atom_dTLB_loads_,perf_tlb_cpu_atom_iTLB_load_misses_,perf_tlb_cpu_core_dTLB_load_misses_,perf_tlb_cpu_core_dTLB_loads_,perf_tlb_cpu_core_iTLB_load_misses_,perf_tlb_cycles,perf_tlb_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,103799601,104097139,9.837,32768000000,10090805387,18238197974,479287326,3515229,103457235,3981554,32597735,767764892,389556276,10155611581,18233631363,3294224032,34222850,10068907523,18241083423,31848072,3026897,10169271668,18233685122,156850,2713952,156850,10109090681,18234195171,158839092,84203042,31823679,10124013148,18235635668,3042242572,3410604487,1608139530,428589995,10109244069,18234352744,10146965612,18232156882,10145608950,5761843156,3515229,479287326,3981554,103457235,10090805387,18238197974,1132652,3373190662,13715,1133626,3372984281,11990,10120421844,18221797330,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,112175196,112475204,9.104,32768000000,10100786900,18235399718,478344243,2766400,104252405,5158715,31920803,678255209,353994797,10112248442,18233269353,3291260702,33826609,10129226123,18232928579,31026021,2989447,10087693098,18235808209,214052,2627506,214052,10140811164,18232278020,140626377,75995349,27708861,10093250974,18234742177,3044398477,3409215640,1607346980,428540719,10130725793,18232382116,10169942856,18230978607,10168621114,5864228084,2766400,478344243,5158715,104252405,10100786900,18235399718,1130425,3370465867,13850,1132654,3369403950,12476,10137898903,18241316575,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,103426805,108142468,9.469,32768000000,10083236926,18235266276,478358426,2826492,103909950,4499356,34725389,730596996,376690496,10146784103,18233747196,3292462907,33434517,10106463826,18233498695,30714540,3052244,10110163803,18232221147,174463,2685631,174463,10124373908,18235212262,147084833,79864205,29320311,10109576848,18235619855,3039043260,3409979815,1608821639,428992629,10078715440,18235077867,10085094786,18233117131,10084087574,5995426770,2826492,478358426,4499356,103909950,10083236926,18235266276,1125143,3371488584,13018,1128647,3367516751,11940,10153525316,18247315828,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,111473386,111805762,9.159,32768000000,9995347677,17390149162,448887649,4072453,103648972,6558933,11923966,610448870,471179369,9994406178,17386140963,1724077685,63750285,9953765036,17389605063,56828720,1254051,9973103267,17388358716,98971,1050780,98971,9981467352,17385347433,142541889,48108617,21508588,9968933852,17387365095,3359594414,3364032299,1308761904,309230561,9980925454,17384178826,9963366861,17385054237,9962202152,5797812526,4072453,448887649,6558933,103648972,9995347677,17390149162,1131783,1807873982,13194,1132136,1808775934,12001,9978265900,17403045091,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,103944281,108325804,9.453,32768000000,9937613003,16846123969,256070563,1359817,104116097,5524377,11251938,430559377,310730720,9936944551,16846062811,1760981541,30923620,10128366963,16847448353,28545051,1475033,9938099708,16846197502,96680,1308510,96680,9932314311,16844480602,134464197,57381918,25890002,9945209867,16844560818,3356950103,3389117976,1332083614,273739517,9927604755,16844911565,9938742103,16844609394,9937631318,5728856562,1359817,256070563,5524377,104116097,9937613003,16846123969,1131756,1823037763,13058,1134005,1823954650,12458,9956461725,16838962252,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,101091683,106742432,9.593,32768000000,9841693721,16564670869,160651541,1056505,103656245,4310865,19191685,450336936,307066385,9881351422,16560757971,1753777581,34993650,9903330819,16559549288,32665970,1678469,9862671580,16561153382,122396,1418183,122396,10361869666,16558274778,127320288,66201881,31350865,9888143255,16558404479,3288187242,3454997372,1419787048,244180586,9881571643,16560592756,9878218813,16558325231,9877023773,5744563762,1056505,160651541,4310865,103656245,9841693721,16564670869,1132445,1807074297,13055,1131828,1810271197,11518,9875354337,16533798463,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,104871605,110125780,9.298,32768000000,10068380863,16977043669,246578939,882335,104628527,6415647,12114509,523193500,441483584,10078968395,16979205851,4225282356,59989834,10086009342,16976684421,57141657,1182166,10072772445,16979473900,88031,989191,88031,10052033850,16977260087,102916400,44020496,22133609,10058958526,16979386063,2822571931,3373479280,1834272354,607092545,10101382694,16976755290,10112425620,16977093695,10110941606,5623533534,882335,246578939,6415647,104628527,10068380863,16977043669,1124464,4294068122,13246,1126216,4290824177,12071,10069758100,16985392967,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,103321462,107852871,9.494,32768000000,10025644860,16424300202,150593451,1038486,106593078,6109499,11235129,419096361,335983209,10028124058,16423138425,3948689991,39592224,10020034244,16423663236,37670053,1146338,10013182790,16427421909,103490,958817,103490,10066152783,16425276785,101275451,50741039,25319994,10035199919,16425713760,2853157661,3382473318,1824149580,583917666,10044934903,16423776031,10389721558,16433437439,10388671118,6177506404,1038486,150593451,6109499,106593078,10025644860,16424300202,1121058,4003196583,13168,1122588,3997394089,11667,10055743664,16441486908,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,103494556,109040699,9.391,32768000000,10066160039,17191781534,294809358,920676,104598318,6118020,11954376,580764492,494737692,10083009983,17191399796,4220470862,63065307,10111637452,17195314749,63000931,1032150,10104062618,17197480826,68596,942394,68596,10065452406,17190522947,130728305,51005359,25413984,10114261409,17191287191,2790857781,3347489819,1863962911,644594103,10119951692,17194517889,10086174867,17193871370,10084931297,5878190362,920676,294809358,6118020,104598318,10066160039,17191781534,1128908,4295007082,13378,1126861,4303190934,12206,10143082455,17182283022,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,110921016,111040124,9.222,32768000000,9910144618,16388063045,239698259,965906,104192657,5749695,12803850,648652638,570340413,9932815261,16391801682,1299121387,73705682,9943709837,16391360942,72567423,1025420,9948314425,16393957440,88078,885914,88078,9998948456,16394690374,133575282,45114538,20019931,10085045446,16395804109,3434121841,3483272526,1316988929,189490485,9937670623,16392293497,9941461781,16391358087,9940274589,5806546702,965906,239698259,5749695,104192657,9910144618,16388063045,1124469,1389898611,13582,1125222,1390404323,11920,9946236514,16396248148,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
011-lib0-t4-k256-r4c2-u2-b-,ok,ok,0,4,256,4,2,2,-,102072163,106840504,9.584,32768000000,9911412565,16089176602,145694757,1098807,104054370,6507595,15150948,509386728,426600190,9976684825,16090738533,1325911860,50926725,9939565652,16088321550,51435675,1090374,9915630275,16084522547,92671,924878,92671,9931614560,16088555453,106531473,51584473,24553670,9902354128,16087597907,3390412941,3519584215,1400886885,209913405,9941683995,16087663559,9947105449,16085414239,9945739372,5634733815,1098807,145694757,6507595,104054370,9911412565,16089176602,1128569,1392824832,14164,1130548,1392649194,12402,9908327084,16095585515,ok,failed,ok,ok,ok,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
