tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_l3_dram_cycles,perf_cache_l3_dram_instructions,perf_cache_l3_dram_mem_load_l3_miss_retired_local_dram,perf_cache_l3_dram_mem_load_retired_l3_hit,perf_cache_l3_dram_mem_load_retired_l3_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_summary
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,23448602,23693186,43.219,32768000000,5205208319,9620244012,297372781,2145441,199256820,3602031,5249808118,9649848580,4990503,5109588659,1766743562,5203808506,9607724710,111160650,2013286674,79046853,10199102,5204892111,9647002502,1564394648,128290742,5279764418,9652066327,116639256,14237225,5213154781,9653811143,345832,13765597,345884,638352954,329187345,38296014,5362349108,9652285391,5210812648,649374235,2045479027,926596035,533792566,9612355498,5060301809,9631618697,1969220143,10355493099,10371951042,10253092381,5276915767,9659903800,5277505346,4858099556,5376621574,389667876,82189674,89659268,9650867945,2145441,297372781,3602031,199256820,5205208319,9620244012,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,23511628,23885946,42.870,32768000000,5236433514,9660213536,299051270,2153123,197755396,3817972,5277218985,9649680264,5703561,5171006178,1773174207,5437648816,9671933338,104366539,2090277922,75616091,10347211,5223673029,9647907816,1565853750,128428398,5229858282,9645388568,117897198,14293530,5306678228,9680814775,366475,13770793,366544,641817192,344280410,37076931,5240896733,9646250411,5098205860,570416236,2013963332,930835946,546945331,9662584543,5060796194,9667556329,1957543726,10310882817,10345227578,10224586006,5395631567,9648878309,5396671977,5018858415,5234359928,304689959,63192132,70001786,9647264844,2153123,299051270,3817972,197755396,5236433514,9660213536,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,23627033,24111455,42.469,32768000000,5369924707,9637022672,300268513,2219677,198868070,4386293,5162377136,9641966349,4805528,5080802962,1736334963,5386221599,9667942249,101566979,2024309951,73918983,9951100,5171602850,9641053465,1568846719,121510480,5171639057,9647957890,111168914,14452587,5376149636,9748121822,358726,13843892,358807,653171075,345986452,41949420,5221364865,9652664737,5182016397,641402901,2028907692,925088546,531964067,9662381223,5329179351,9639499736,1707544563,10360299883,10366523074,10292362810,5175159176,9652370487,5175744498,4806601325,5026986054,207489885,41144079,47152572,9637759735,2219677,300268513,4386293,198868070,5369924707,9637022672,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,21663305,21731933,47.120,32768000000,4965578182,10222608002,298026231,600753,197113625,3221155,4692058468,10122371281,1780964,2078422635,1353769053,4753564334,10113299046,41906978,1970046344,365536,12729623,5017370863,10133150964,801090649,84828290,4785435321,10124039904,69909053,4705738,4721264260,10129053482,152319,4476606,152432,338239905,188678461,18367059,4642842060,10130343862,4837988102,544195954,2453314945,426201457,596153431,10115103072,4960942180,10137394215,1583689374,10202506090,10136626942,10049042242,4956337610,10158351892,4956836837,4593090564,4769327512,285885662,57462044,63986231,10123081021,600753,298026231,3221155,197113625,4965578182,10222608002,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,20726502,20893541,49.010,32768000000,4601072539,9456555394,171758079,549937,197186501,2484101,4781717923,9458127852,2323349,2161822053,1195905568,4736884975,9436609757,84351010,1987641731,1010478,13795552,4678644824,9456968317,945565892,116071717,4665090802,9457203256,110956277,5403596,4817822020,9481528883,248613,5110001,248723,400442461,218630751,36203107,4766497893,9457862030,4697939993,363567798,2728606469,346660387,419672045,9494389701,4689985020,9442748823,1615818244,9601555640,9499573086,9502980593,4664205956,9470719161,4664690266,4316994229,4578128631,200438957,36661374,42835921,9457705917,549937,171758079,2484101,197186501,4601072539,9456555394,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,21003176,21280051,48.120,32768000000,4962507617,9125388358,120942369,660898,196248943,3665514,4706437955,9103266867,10433505,3404451319,1234546935,4722699167,9101810008,110626089,1984256936,29206039,12834017,4711654813,9106963962,841287981,210271533,4655468235,9112025209,197650417,8194411,4666640718,9110724823,279770,7785325,279849,395051838,264330375,35549770,4696359226,9101018387,4974239598,467313718,2936627411,252581601,369955648,9201485316,4696320275,9145851807,1712799916,9274953350,9214168540,9146888593,4747001366,9115608602,4747811810,4376320059,4705321039,286952052,55657003,62529700,9113060897,660898,120942369,3665514,196248943,4962507617,9125388358,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,22318361,22897975,44.720,32768000000,4853690702,9465952441,201350973,858279,197979993,3289721,4600354776,9377498052,1354119,2077916333,1318339015,4746032968,9340042101,247583889,2034950770,6259928,12732838,4843132555,9397003677,710696800,113204526,4664037869,9367112597,104419534,4105235,4664963430,9376057538,152229,3905569,152338,329698874,207641336,23229549,4548680493,9371199086,4657329652,448870169,2774563965,216725584,483888834,9366937497,4779319665,9366504019,1608533986,9517644915,9429345367,9405303779,4794017962,9376717803,4794501240,4451056773,4622639844,258251087,52323084,58528367,9365658260,858279,201350973,3289721,197979993,4853690702,9465952441,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,20323310,20544350,49.843,32768000000,4557145545,8949757175,115057591,559180,197566087,2921482,4619963201,8957059432,3607529,2036049696,1136764486,4845529851,8975499088,224662151,2055548472,9262311,12111916,4589357620,8956845735,721665679,108414312,4857722062,9042422808,107495234,4252018,4776014823,8952762520,240155,4030256,240255,364109823,214704221,33083722,4671552336,8953626004,4657651669,420100480,2884943850,398384639,248857945,8924489227,4771109701,8992378221,1553048109,9126484457,9064826534,8994357930,4573580907,8953172266,4574036987,4215602459,4535884128,198146630,37590804,43584621,8957406377,559180,115057591,2921482,197566087,4557145545,8949757175,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,22925506,25082895,40.825,32768000000,4787725726,9135112747,201280791,598720,196920445,3373352,4583602043,9062056733,1407270,2082041364,1287637480,4652393938,9071726289,246029468,2003427727,7092129,11609074,4780526109,9058863196,700111116,107314610,4634863897,9052172660,98907010,4369501,4648189001,9058223057,156084,4187053,156174,342063914,219591129,21339136,4568460985,9060353446,4701914749,445856884,2933110314,222417676,319802777,9109526788,4668975836,9081454116,1644673467,9111880815,9108231210,9004407607,4824245283,9062470802,4824859855,4472714995,4636351010,254118667,50671266,56918352,9050738348,598720,201280791,3373352,196920445,4787725726,9135112747,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,21439556,22058443,46.422,32768000000,4889051238,9398341956,169249604,1000489,197782496,4034475,4594717911,9363501758,6245488,1594202192,1223259871,4658517694,9339408970,14903948,2609202137,486294,11801712,4657870328,9363190577,693716812,119376195,4748484428,9373871961,117559540,3441832,4662623031,9356046478,180525,3246799,180629,307669483,185703177,42088803,4718313639,9360088661,4616952032,491900998,2723104143,250171302,475237895,9367514932,4699700379,9347604112,1505423576,9500890646,9430330481,9371898271,4804564373,9375513409,4805230810,4506283338,4714463093,378355767,77424011,85419451,9358088542,1000489,169249604,4034475,197782496,4889051238,9398341956,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
