tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_l3_dram_cycles,perf_cache_l3_dram_instructions,perf_cache_l3_dram_mem_load_l3_miss_retired_local_dram,perf_cache_l3_dram_mem_load_retired_l3_hit,perf_cache_l3_dram_mem_load_retired_l3_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_power_rapl_cycles,perf_power_rapl_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_iTLB_loads,perf_tlb_instructions,perf_uncore_numa_cycles,perf_uncore_numa_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,22808784,23143444,44.246,32768000000,5103620575,9628897224,295953247,2084282,198672224,2168983,5127020563,9647364929,3573550,5199609101,1727415183,5106065488,9629470671,106153156,1976647041,80815719,10715817,5076021087,9634924282,1570766595,118825049,5105105137,9638031158,103360990,14240390,5053563250,9633045458,331562,13915029,331657,643694855,336114978,38485981,5219137112,9645090632,5156192679,599819840,2035831154,921730278,544164140,9678840312,5093150445,9620988271,1970983882,10389776550,10375952280,10280105982,5126934567,9645179278,5127481741,4736366914,5083172449,213208433,42241189,48464765,9640815148,5106609716,9645150458,2084282,295953247,2168983,198672224,5103620575,9628897224,5098657523,1570890,1837614387,24965,21944,9612152897,5120903014,9648506332,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,22986140,23211188,44.117,32768000000,5117168845,9628311497,292420850,2079736,198083084,2701269,5135336512,9646310926,3552466,5060042053,1690706335,5152772014,9648710442,103879561,2016647597,81370614,9582609,5109971660,9641785684,1570132120,121720237,5111307372,9647973339,105095830,14132773,5140891959,9646790337,269621,13801856,269693,643414443,348120205,32626348,5117610683,9643783669,5267017362,707965214,2071220594,909547884,521501321,9651153779,5129875584,9609376700,2011616121,10362913000,10332062588,10308250276,5119532610,9647414888,5120021216,4731575434,5264160302,285388178,59489638,66034314,9650366699,5107950794,9641995867,2079736,292420850,2701269,198083084,5117168845,9628311497,5088201819,1562546,1830846116,30886,20922,9642615443,5111100071,9645848558,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,22944281,23309523,43.931,32768000000,5135165872,9631688680,296611497,2110780,198462340,3054962,5140113193,9644259484,3478647,5230074316,1733048547,5146169945,9618295539,110506097,2026544969,83692222,9778109,5096186828,9639446489,1567539184,120639139,5139162072,9643970546,105289862,14262311,5135844991,9645878531,302061,13802901,302194,651834536,350251430,31904135,5131968233,9636448626,5145139326,602567261,2043314295,922506817,545521846,9613463919,5109084918,9637424925,2003999409,10346192591,10357093861,10268644015,5143612437,9641868364,5144143800,4760714015,5112370161,219941970,43763778,50007898,9643399132,5094223441,9641559753,2110780,296611497,3054962,198462340,5135165872,9631688680,5109796384,1562858,1829992804,24860,20995,9645617445,5140243000,9648046510,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,20974382,21046884,48.653,32768000000,4663361121,10163484680,266069384,1324028,196868718,2344717,4683261756,10135290022,1076118,2101385527,1357514152,4691054734,10111022099,40556577,1959013018,427320,11712205,4675733671,10132808609,792372688,63581592,4672638843,10129344044,61027732,4759572,4717449625,10133098460,160185,4498860,160269,345889969,193949841,22726023,4680702958,10134008214,4687285273,427294557,2483498567,374978199,617336266,10121286822,4676229834,10124415474,1630260221,10187430902,10104448939,10063343092,4657354914,10127743729,4657718369,4317792650,4661921572,219725763,41275016,47658116,10131119623,4663538361,10131591239,1324028,266069384,2344717,196868718,4663361121,10163484680,4682916490,2005362,1063451894,24912,19831,10096060046,4679592195,10135860265,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,20669869,20749817,49.350,32768000000,4603178916,9458914418,171443573,561838,196871506,2428164,4612569463,9457268502,1179762,2136166725,1164793672,4611032121,9484843848,77183652,1959952297,1092817,12404832,4609844599,9457462620,949417003,113392342,4606345904,9455950217,110132203,5576454,4613074762,9456867299,181421,5262604,181528,368783771,209503736,24904830,4598511435,9451433210,4627075434,344395215,2723543071,336047306,426509146,9460317681,4618217104,9479511448,1695869048,9602540745,9521140047,9466586818,4610517524,9459394319,4610929039,4245797518,4602456039,225338579,42122351,48549075,9452329848,4600177867,9454413959,561838,171443573,2428164,196871506,4603178916,9458914418,4617109717,1910143,1071896151,30236,20323,9477749823,4594566639,9456003001,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,20698061,20924273,48.938,32768000000,4614179173,9139809363,123602380,578579,196189759,2632070,4612550607,9109594615,8760160,3282586146,1178130656,4632996098,9102955456,102280628,1969887697,28988321,12027030,4629971880,9117250435,851704621,202596836,4628491813,9113971009,193710429,8112940,4609147897,9113102176,250009,7749288,250129,368230014,254889057,33057361,4607473744,9109809975,4625997123,339867489,2908656822,220783136,392417303,9117764395,4619380774,9109868849,1776465075,9274138506,9197549068,9140734478,4607045892,9111282654,4607411480,4270448148,4615034461,224681792,42297033,48643689,9112227568,4605244187,9112166524,578579,123602380,2632070,196189759,4614179173,9139809363,4649974391,1466395,1061637884,28626,20212,9121117973,4590397061,9109872992,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,20558559,20749093,49.352,32768000000,4596621929,9361891722,163070274,576362,197623234,3136273,4589268974,9376106125,1287695,2066246208,1310250937,4576981123,9357469939,234644177,2025509634,7078284,11152135,4575369761,9372335138,715936235,100522252,4566369582,9368839068,95103148,4154093,4564470288,9369313775,126388,3987793,126479,338051418,213334409,24068060,4576155555,9373627026,4579838326,392224063,2776351407,193978066,495342347,9363133383,4594806370,9376598829,1686282704,9509953603,9433850515,9373135765,4554929790,9370438066,4555353308,4203744450,4608458368,226992010,43958664,50448555,9381016212,4551024396,9368038334,576362,163070274,3136273,197623234,4596621929,9361891722,4591059065,2178401,835957179,29548,21665,9387901761,4554227337,9368318150,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,20651567,20717227,49.427,32768000000,4555891840,8932813706,113117722,566465,197481345,2670678,4569876840,8955545234,2652742,2026267191,1121985621,4572831880,8979426870,241058503,2022191958,9801254,10897244,4542414387,8953895009,722095653,106940092,4539237164,8950008197,101251584,4173397,4558407241,8953406771,169987,3980396,170092,339277493,212793900,25878734,4549055003,8952042656,4556755654,337879232,2859178380,405604226,252851855,8955524043,4576989710,8939503214,1762907534,9104882203,9058425710,9002541994,4556413587,8954412045,4556778883,4216558624,4549941351,223442609,43182081,49307544,8951495758,4554368942,8954023398,566465,113117722,2670678,197481345,4555891840,8932813706,4558649170,1973206,839822695,28733,20876,8975306049,4565336887,8954983090,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,20703081,20757801,49.331,32768000000,4583362632,9057536876,185937787,568782,196565326,2855965,4588668451,9062146669,1313709,2076813754,1288759264,4607578388,9085163917,232571143,2026966281,7303875,11640420,4574615608,9056008444,706928202,98085791,4573795545,9059372116,95173109,4472455,4572660694,9055607876,124932,4290747,125009,347465483,223545474,24072131,4577453161,9059030677,4581686346,390158661,2927906805,204855235,327174279,9044085697,4591677700,9033057827,1755222876,9160385267,9122151030,9042008139,4808094916,9130390939,4808640190,4475616459,4581330146,221705996,42510469,48849679,9063605884,4589639092,9069562961,568782,185937787,2855965,196565326,4583362632,9057536876,4578965420,2430118,828642594,35999,21824,9033669843,4579923466,9060965386,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,19904185,20232537,50.612,32768000000,4457580925,9370810600,155632780,573117,197560739,2565593,4445127616,9350796615,1248980,1511776556,1168342303,4438004408,9340927933,7882470,2550109271,410089,11455357,4476809911,9360805504,700192713,112714224,4473200611,9361844430,108339070,3484865,4491339175,9365590001,119667,3347785,119793,228443151,160110710,21108733,4459842052,9359667484,4433799650,383902229,2755857120,211672256,488476086,9357680953,4460669263,9330839748,1566219490,9493390794,9427489001,9357953207,4430303868,9346731270,4430739422,4091589903,4433378893,198648427,38837713,44742363,9343802967,4438212814,9347118385,573117,155632780,2565593,197560739,4457580925,9370810600,4430514141,2252611,820620268,24344,20622,9369061989,4448975844,9352261484,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,failed
