tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_summary
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,14543146,14994270,68.293,32768000000,7683949674,19043100416,691107474,2507446,198683149,419813,7810001643,19228467203,3649220,3018467428,1903218906,8182583109,19734965118,23640593,2111357022,635275,15153090,8435021730,20003325363,2107331259,21461426376,21745400714,21677143859,7658175592,19078176811,7660220574,7660216873,7952100167,495056068,78825111,122266732,19494115946,2507446,691107474,419813,198683149,7683949674,19043100416,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,14514217,14799531,69.191,32768000000,7726793589,19110631971,744211839,2479531,200111915,471577,7623404534,19091108908,3448778,2899580534,1896647024,7748469463,19089183126,27799479,2111160037,592635,15329624,8960595617,20863004723,2131595843,22332695199,22704826040,22452301337,11736555890,24523138363,11743962634,11743972613,10061204959,1164236141,156445414,277806349,22296218626,2479531,744211839,471577,200111915,7726793589,19110631971,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,17928996,30078748,34.044,32768000000,9173448486,21089314292,1323043887,2783966,200865981,450737,9203991313,21090191736,7130103,2940846277,1838761996,8179824315,19701998121,36495540,2229893188,400204,18632006,8212575681,19671061482,2080854517,20912511898,21295587659,21060795677,9350004798,21128473661,9352039943,9352395360,8963757730,927062653,133225467,210639311,20642799606,2783966,1323043887,450737,200865981,9173448486,21089314292,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,14882451,15303755,66.912,32768000000,7765023633,18460250800,780274996,6773597,200080126,433165,8916538554,20140510635,6296726,2065408218,1550551887,8425424314,19484513391,12075986,2747576727,430857,28634117,8361583796,19203432678,2356382519,19655541524,19589418014,19426657673,8678332224,19765725511,8685988316,8685976943,12262262443,2541515800,266572873,485508524,24720398371,6773597,780274996,433165,200080126,7765023633,18460250800,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,13973785,14348230,71.368,32768000000,8057942748,18625487252,785487831,1240841,199785568,363482,8382574766,19104128246,5570124,2303789600,1575937333,8639562947,19375867804,14460797,2425141398,570207,30049766,8218467977,18734936835,2456315030,19366154071,19146765365,19227935637,8224388833,18910027568,8228145836,8228206619,7805837662,631955664,92270654,137876184,18266142796,1240841,785487831,363482,199785568,8057942748,18625487252,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,13304591,15736582,65.071,32768000000,8163901954,18707789542,852038623,1150580,203424242,626960,7468397713,17913290382,4154815,2863559351,1621173076,7305251919,17650218241,15684504,3018789997,576652,27583711,10625246296,22256820631,2240319117,23946099026,23611087773,23540065063,8227522946,18982696604,8229760117,8229692800,7807713812,670278278,96334280,155067804,18324163481,1150580,852038623,626960,203424242,8163901954,18707789542,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,14565503,24717138,41.429,32768000000,8894803288,19699508365,1096505204,3085668,202778874,435622,7642021286,18100492801,3529734,3028378647,1931885937,8020192758,18460942614,38338767,3497726087,551709,26026116,8558224214,19209643037,2396846429,22573875041,20136194638,20023452035,7575985230,18018040577,7577639159,7577891017,7865793077,525988510,78085475,125413906,18379824028,3085668,1096505204,435622,202778874,8894803288,19699508365,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,13748887,13772039,74.354,32768000000,7301351053,17251718481,441806336,836304,202614109,363933,8130387262,18453023671,5217812,2928537065,1856004370,7318774159,17200959050,33802882,2183853378,691050,28007475,7662006076,17722331786,2404448385,20714041863,18271076898,18211701026,7184154241,17078136870,7185670660,7186433390,8181785811,715131433,99380495,156564072,18439480576,836304,441806336,363933,202614109,7301351053,17251718481,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,14483744,15461063,66.231,32768000000,7552824448,18032244929,614717256,931100,203434371,405154,8007488225,18736158640,4573817,2699148193,1723864890,7711940821,18240794660,35559618,3863944299,445056,26283964,7757618051,18170984756,2504083820,21524145151,18765645502,18772295388,9089430878,20106402306,9110566517,9110681667,7846767591,464255004,67755324,109240576,18317757346,931100,614717256,405154,203434371,7552824448,18032244929,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,13663436,15153526,67.575,32768000000,7290949705,17359426792,506925377,1225549,200036823,418396,8208766361,18593799903,5877308,2713934676,1852055889,7232913814,17238426147,8348742,3613804304,371407,26309045,7218843761,17335109283,2318422275,17510753354,17425842554,17328195474,7296001976,17370455244,7297971643,7298064398,7186005438,454615521,71061422,100883241,17206508235,1225549,506925377,418396,200036823,7290949705,17359426792,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
