tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_power_rapl_cycles,perf_power_rapl_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_iTLB_loads,perf_tlb_instructions,perf_uncore_numa_cycles,perf_uncore_numa_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,28887055,28899892,35.433,32768000000,7291131403,18667738888,585296574,2364878,199364272,86872,7283269288,18607327898,2625005,2762357850,1776465557,7378636306,18640499273,20581579,2178630363,467161,13285901,7458821027,18571868195,2074641156,19572741994,19883402442,19974404480,7284842349,18623986843,7285805797,7285762247,7261475548,271234503,45748038,65484241,18615955835,7282516833,18623637258,2364878,585296574,86872,199364272,7291131403,18667738888,7271612441,1530031,3481051155,61928,23848,18539723178,7284912746,18620893509,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,28950192,28968386,35.349,32768000000,7268812158,18554754875,609595018,2342040,202199741,53219,7253664505,18548054582,2715584,2745433034,1772441985,7210253786,18476482172,25763547,2109840629,502857,10381665,7286156115,18627611891,2042023286,19523470743,19927165950,19833138856,7290375171,18618109521,7291369464,7291323576,7291317476,286004416,45274771,64831870,18595751321,7274074135,18628509781,2342040,609595018,53219,202199741,7268812158,18554754875,7274178454,1420104,3493922659,65776,23666,18582870251,7288434920,18645889002,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,27796940,28657703,35.732,32768000000,7255344653,18539606418,598214006,2350198,201484343,52088,7212467526,18579402124,2214695,2495889967,1649069174,7193852261,18519476726,23807829,2114516801,577086,13311331,7290526010,18739019667,2025870029,19521446319,19981828130,19795868351,7274369504,18623929757,7275311908,7275270831,7289230547,291778317,48965692,67634336,18679375762,7214576847,18568288245,2350198,598214006,52088,201484343,7255344653,18539606418,7280747990,1400312,3493448644,64098,23064,18541595498,7288760245,18657025197,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,27403952,27566270,37.147,32768000000,7034178117,17697926825,565421442,6721544,201137042,64991,7153877688,17721565951,2763583,2214690062,1656081689,7201776049,17750127285,5872248,2641097558,312626,22831502,7127604976,17699929374,2289323035,17761426877,17767213404,17623819234,7189746090,17811799092,7190687990,7190644419,7251124814,774928316,56286191,81832762,17913174092,7116351285,17819842863,6721544,565421442,64991,201137042,7034178117,17697926825,7101656331,1336777,1920385404,75030,23996,17817766142,7126596312,17805498885,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,27616292,27660393,37.020,32768000000,6944850873,17181935542,385470849,867608,200989138,50304,6915456608,17214973798,2468851,2026735723,1446334557,6952840082,17230544073,5119034,2351906447,309194,21901935,6979385366,17297931892,2357428530,17392951563,17340582015,17209463397,6986180637,17287766834,6987177309,6987129888,6964879796,308729154,49200688,64820956,17252146871,6907984280,17225227605,867608,385470849,50304,200989138,6944850873,17181935542,6964204370,1590984,1956585507,68016,22356,17197035698,6978651726,17245965863,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,26544792,26576406,38.530,32768000000,6682713875,17042706722,283426802,727552,200308764,50995,6631729010,16996192861,2400845,2160284424,1253935386,6667355719,17034618060,11813015,3022967518,415578,19194798,6676936547,17026336847,2112503460,17164773621,17102024796,17072366241,6678674847,17018925403,6679590025,6679544969,6654122642,304573229,47027717,63862554,16998661632,6649019221,17032360038,727552,283426802,50995,200308764,6682713875,17042706722,6675528246,1420685,1938487341,76067,25570,16986615924,6644183757,17013002089,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,28123445,28189613,36.325,32768000000,6968402680,17384918572,366965061,2612687,200173961,62628,7101923759,17388831689,2670457,3091917446,2001840102,7123399455,17479684702,31084870,3332384833,528902,21189312,7109374538,17462408701,2332295073,20284834229,17953920488,17811015608,7114737625,17514857154,7115712868,7115666277,7126924937,309283165,52058734,72117132,17520434925,7113888757,17501672623,2612687,366965061,62628,200173961,6968402680,17384918572,6973595244,1068323,4416704071,69750,22410,17455896415,7120686194,17517010044,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,27409635,27440524,37.317,32768000000,6902429443,16844243493,284704711,724220,201114345,50832,6866851096,16818884726,1945102,2641318263,1710303705,6908912843,16865266907,28255982,2213028752,478913,17859478,6901404668,16849931730,2345560204,19520437395,17173269057,17099418346,6907640489,16854305838,6908606108,6908562635,6839152984,251220617,43197567,58147802,16793804630,6904562935,16831475495,724220,284704711,50832,201114345,6902429443,16844243493,6912776644,1240410,4130911203,64322,22473,16861691647,6903578381,16852018466,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,28411806,28660050,35.729,32768000000,7203083399,17645512931,437909670,739918,201534566,48263,7170462425,17631434437,2181771,2647945436,1699161690,7146986364,17660377296,31721098,4055741975,470998,17162833,7201674148,17746399630,2379749829,20646846269,18133365646,17915410791,7227218028,17697665410,7228149258,7228104386,7227308297,296007089,46569588,62749745,17663753329,7216711671,17719546050,739918,437909670,48263,201534566,7203083399,17645512931,7205455413,1144539,4466699369,84768,25216,17695323640,7210852736,17701658533,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,27255994,27267685,37.554,32768000000,6851938854,16882386542,380331191,1060354,201128403,50315,6785489508,16817217073,2080224,2281086839,1625628944,6830413587,16825305437,5720761,3531274117,314683,18017799,6809224277,16788324372,2339414039,17022052034,16895233802,16923546652,6865401874,16888689253,6866378023,6866331141,6843976622,299533779,47187226,66517165,16893198041,6858494233,16905643560,1060354,380331191,50315,201128403,6851938854,16882386542,6845917265,1273044,1545451836,71152,22422,16923779534,6863253437,16898722767,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
