tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_power_rapl_cycles,perf_power_rapl_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_iTLB_loads,perf_tlb_instructions,perf_uncore_numa_cycles,perf_uncore_numa_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
001-lib0-t4-k256-r1c1-u1-b-,ok,ok,0,4,256,1,1,1,-,14486017,14502321,70.609,32768000000,7504435209,18679096130,660804192,2494270,201905998,450365,7530286866,18736608008,3600256,3175587637,1916655595,7539966293,18865867664,26796714,2119653728,539601,14662252,7542219177,18780026657,2146468648,19799854309,20226286307,20033055384,7515655060,18764978309,7517380076,7521554041,7533545758,363491981,53322005,76022914,18821017576,7518151787,18807403627,2494270,660804192,450365,201905998,7504435209,18679096130,7509255778,1735067,3522593291,96543,33830,18782602883,7533638710,18780457694,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
002-lib0-t4-k256-r1c1-u2-b-,ok,ok,0,4,256,1,1,2,-,14467055,14483406,70.702,32768000000,7493055176,18738782770,652937760,2495039,201754555,433462,7387759217,18589173417,3473241,3205087072,2045651686,7509210368,18699891157,36677957,2146974248,438911,14942214,7506991988,18772331875,2171208992,19735129910,20132377017,20006792859,7566835138,18835395292,7568404600,7569173428,7546041209,395680838,55292798,67627437,18733656458,7583749173,18873521904,2495039,652937760,433462,201754555,7493055176,18738782770,7492425401,1719915,3527905087,93293,35182,18720333390,7524208150,18796930105,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
003-lib0-t4-k256-r1c1-u4-b-,ok,ok,0,4,256,1,1,4,-,14483608,14510558,70.569,32768000000,7515461102,18766072450,653126603,2518499,199355919,511661,7469791490,18707684724,3126946,3214514623,1885632748,7555693269,18860044310,35850589,2162184627,482104,14760131,7542300033,18811250402,2178062832,19733858254,20111367897,19994663357,7529136985,18762139254,7530805870,7531168886,7516180550,311893729,50122475,83227855,18800190694,7521817762,18807549151,2518499,653126603,511661,199355919,7515461102,18766072450,7513794865,1744693,3528523991,85521,31364,18792213999,7581383292,18869392987,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
004-lib0-t4-k256-r2c2-u1-b-,ok,ok,0,4,256,2,2,1,-,14796648,14802368,69.178,32768000000,7635297574,18319329888,671334741,6835292,197748995,581787,7543702836,17942031482,3441339,2877176523,2062319307,7604896239,18166316912,11624510,2571471715,336089,23833742,7603917919,18084140010,2537627339,18010761286,18022818747,17874669958,7637458422,18144869289,7639160086,7639075139,7624406365,890156063,67516707,95010163,18152811957,7633420609,18118862030,6835292,671334741,581787,197748995,7635297574,18319329888,7623891093,1737878,2013067667,96098,34649,18209357848,7537780035,18098447356,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
005-lib0-t4-k256-r2c2-u2-b-,ok,ok,0,4,256,2,2,2,-,13885407,13917794,73.575,32768000000,7191194036,17327383742,460124018,996329,202957769,407642,7140876465,17303965790,3152052,2650995497,1707520490,7208097995,17468893522,16243754,2345015960,351099,23238976,7194747022,17381548138,2499907717,17527244895,17505197258,17289167121,7212918557,17452728106,7214708651,7215361125,7191976929,360046029,54903339,75499864,17384369694,7244073909,17461396447,996329,460124018,407642,202957769,7191194036,17327383742,7198643108,1718731,1995385658,89201,33067,17478896847,7214110810,17402802666,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
006-lib0-t4-k256-r2c2-u4-b-,ok,ok,0,4,256,2,2,4,-,13273402,13405821,76.385,32768000000,6967568106,17182912298,384452321,916804,202355627,476090,6829241077,17094654845,3577852,2806017533,1555577510,6883023785,17102957552,12810006,2877382762,507133,22304828,6874962974,17001441683,2289437923,17335006265,17215913724,17228064393,6940375652,17174002448,6942075074,6944023228,6918440992,362061440,52128611,76015841,17187430180,6939109223,17200672069,916804,384452321,476090,202355627,6967568106,17182912298,6861287924,1772147,1979083045,78151,30224,17013353128,6902588709,17142268578,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
007-lib0-t4-k256-r2c4-u1-b-,ok,ok,0,4,256,2,4,1,-,14181593,14212478,72.049,32768000000,7321857284,17450241557,452972312,2806377,204786222,481398,7302251522,17575930889,3261853,3373731580,2158713468,7312464841,17552724130,39882007,2966779010,546275,24946911,7303801958,17503582808,2423867685,20609526948,18156597377,18059971020,7324512643,17566261160,7326153344,7326464195,7350233250,370023388,58675695,82571913,17659689087,7316662263,17581133575,2806377,452972312,481398,204786222,7321857284,17450241557,7337514437,1457017,4478698388,83313,27414,17598697954,7338026013,17595999807,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
008-lib0-t4-k256-r2c4-u2-b-,ok,ok,0,4,256,2,4,2,-,13736215,13762925,74.403,32768000000,7125420714,17011804581,308976001,812074,201112328,460503,7067978995,16990447316,3417960,2891448971,1858469040,7075174958,16951822446,34970905,2143698594,597342,22857151,7134833102,17129418003,2434549616,19636466741,17334720103,17221626221,7121292995,17004953479,7122926083,7125186513,7126549541,330020465,54721229,77727093,17035590788,7173864739,17060888581,812074,308976001,460503,201112328,7125420714,17011804581,7097202432,1431512,4160992203,81129,32905,17014177610,7146200591,17066984943,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
009-lib0-t4-k256-r2c4-u4-b-,ok,ok,0,4,256,2,4,4,-,14474657,14502697,70.608,32768000000,7488342670,17844580560,510631090,911508,201365254,510596,7445809973,17900749445,3228720,3362571068,2059831529,7424409517,17672381103,40793219,3005893524,561357,23014819,7429758718,17753494720,2526556530,20948531294,18245707042,18239290573,7492472761,17885851244,7494176376,7494696532,7321564274,321290762,49881092,74412800,17756495798,7486898025,17816467902,911508,510631090,510596,201365254,7488342670,17844580560,7462731298,1429457,4473054823,97999,35273,17812873540,7489902384,17863678258,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
010-lib0-t4-k256-r4c2-u1-b-,ok,ok,0,4,256,4,2,1,-,13630519,13698424,74.753,32768000000,7031676937,16904919485,442366145,1231548,201756215,379360,6980270666,16918272707,3303358,2842161010,1939683138,7074770590,17012669182,7916167,3377220084,311755,21811017,7057836971,17066038889,2426132504,17090433473,16977577282,17008292285,6947254198,16982227344,6948980037,6950034113,7077880671,388494289,54045767,68034313,16917773341,7066037049,17064961931,1231548,442366145,379360,201756215,7031676937,16904919485,7058061696,1516931,1572189306,100234,34301,17128168749,7073392874,17021424273,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok,ok,ok,ok,failed
